feature,train_weighted_corr,valid_weighted_corr,single_feature_valid_r2
feature_037,-0.007302095560549286,-0.01863628740817867,0.8255156674388981
ts_lag5_feature_275,0.006165421909563811,0.004607619323971285,0.8255151881270822
feature_166,-0.002816994403961699,-0.023943386420415935,0.8255151067596462
ts_ema20_feature_275,0.005896471424176758,0.004627187536642531,0.8255143206525276
ts_ema5_feature_275,0.005875676572856797,0.004600002498374973,0.8255142119409464
ts_lag1_feature_275,0.005871578704941238,0.004592474411592591,0.8255141873141958
feature_281,-0.008213502704849275,-0.013915005964556484,0.8255141553706071
feature_275,0.00582418300634864,0.00458903685692469,0.8255140209330469
asset_id,0.01034140840308739,0.006208942189210656,0.8255138809953189
feature_168,-0.018349036071602477,-0.008597192864863296,0.8255135922122747
ts_lag5_feature_262,0.013322622193120222,0.0030343884468669955,0.8255131334346052
ts_rolling_std20_feature_273,-0.005224587532212517,0.0036109132724434826,0.8255130588035838
feature_264,-0.02835969616061902,-0.013798211027036131,0.8255120662337387
feature_164,0.0018296950764818316,0.031245631332243846,0.8255115728088859
feature_060,-0.005993077456041122,-0.014851010373310443,0.8255114709112947
feature_099,-0.010053097952492627,-0.009293435070491183,0.8255111047286419
ts_historical_zscore20_feature_122,-0.002240939708490848,-0.0277216789766512,0.8255110653405205
ts_xs_rank_feature_112,0.005107053120880912,0.015210377992675673,0.8255110014517397
feature_314,-0.0287212795081336,-0.013664609691462744,0.8255108905784431
feature_054,-0.0023324935292918674,-0.004353754658429863,0.8255108812444535
feature_001,-0.028440224525699952,-0.01378275179254479,0.8255106304505867
feature_108,-0.003657429755335744,0.0023429847230323725,0.8255096791982548
feature_154,0.029230216552153472,0.03716663131617338,0.825509580840823
ts_historical_zscore20_feature_154,-0.006312090568386197,-0.011258827821692298,0.8255095730016815
ts_historical_zscore20_feature_284,0.01095422847836637,0.04416551948075323,0.8255087268402218
feature_167,-0.005123204453466361,-0.023894129619674954,0.8255082947130654
feature_171,0.004529035365490231,0.014766537279288902,0.8255081902982169
feature_296,0.019068947589966682,0.030367872124164915,0.8255076152659587
feature_051,-0.007641589612194636,-0.009833453384008893,0.8255074239453555
feature_203,0.02386685214554819,0.014210429013470869,0.8255071498507283
feature_112,-0.01433024074143365,-0.011793176888231354,0.8255067893588943
feature_151,0.0102192598478459,0.008707509093833945,0.8255066254437236
ts_ema20_feature_141,0.0036146245103399013,0.01996791874533475,0.8255065499100251
feature_081,0.027813669092809294,0.03622701239601711,0.8255064807948995
ts_ema5_feature_141,0.003581946257260007,0.01988608324805718,0.8255063802850501
ts_lag1_feature_141,0.0035682888351506164,0.01986177270654665,0.8255063149320002
ts_ema20_feature_067,0.002523999386883971,-0.0036656660914182342,0.8255061950780518
feature_279,0.005012901021265389,0.005539183276816101,0.8255060576121647
ts_historical_zscore20_feature_119,-0.005120093527620676,-0.00965109858972123,0.8255059618136299
ts_ema5_feature_067,0.0024603069082457163,-0.0036463527369647824,0.825505891383127
ts_historical_zscore20_feature_276,-0.00465013094143758,-0.010366317307242424,0.8255058191645823
ts_lag1_feature_067,0.002443051273817984,-0.0036401480997321233,0.8255058092637396
ts_historical_zscore20_feature_060,-0.002718573862585631,-0.016011007576612564,0.8255057064780169
ts_historical_zscore20_feature_127,0.0025016963055949156,0.04892580813135223,0.8255054821017093
feature_014,-0.0031878187167334853,-0.011580440739709503,0.825505379315451
ts_historical_zscore20_feature_114,-0.02584243353141152,-0.012364422554824454,0.8255053788100601
feature_186,-0.003838814538137792,-0.009247103754403735,0.8255052341214861
feature_144,-0.0018766873016846308,-0.020049677845252682,0.8255039309877925
feature_282,0.0030982870347187005,-0.0030838506071602548,0.8255038645190471
ts_minus_ema20_feature_293,0.005104414231670134,0.011753987899833796,0.8255035900141946
ts_lag1_feature_112,-0.009322924363160123,-0.011762960944653636,0.8255031053795987
ts_minus_ema20_feature_081,0.024342213308724558,0.010965254176827609,0.825503077992663
ts_ema5_feature_112,-0.009371504947188676,-0.011703061890275182,0.8255030206743786
feature_042,-0.0018139544404433825,-0.01930088052562546,0.825502845687642
feature_008,-0.007380067504142662,-0.009009016899421947,0.8255026629441142
ts_ema20_feature_112,-0.009533524523436568,-0.011452065670773413,0.8255026290918246
ts_rolling_std20_feature_275,-0.006636104927665137,-0.0007782419493528275,0.8255024329129312
feature_050,0.007310365114643356,0.006898420231160692,0.8255024006309107
ts_rolling_std20_feature_024,0.024098450859041477,0.01643794658366084,0.8255022060258925
feature_056,-0.0037683239896862787,-0.0068528591990431485,0.8255021531906728
ts_minus_ema20_feature_276,-0.004441307868730454,-0.011209822322330535,0.8255021428313292
ts_minus_ema20_feature_117,-0.004441123588466168,-0.011210038421768848,0.8255021426688858
ts_historical_zscore20_feature_165,-0.007844033629244072,-0.019563546170469192,0.8255019431795931
feature_142,0.0007266636429245608,0.03886141529477598,0.8255017519238289
feature_110,-0.0027858971652316503,-0.01149586345593193,0.825501645751431
ts_historical_zscore20_feature_023,0.006730151932067226,0.00632221954392935,0.8255015676940471
ts_xs_rank_feature_084,0.003666632657379778,0.002793020250540143,0.8255012330410809
ts_lag5_feature_114,0.006684540880366476,0.0020513325437627257,0.8255011801460463
ts_historical_zscore20_feature_125,0.004351818631848424,0.002762151285960511,0.8255009263570195
feature_321,-0.005448759744275275,-0.00899475239621097,0.8255006711538311
ts_historical_zscore20_feature_129,0.009799816053542696,0.008268356763615385,0.8255006179806074
feature_271,-0.0066801508154868865,-0.008079402804232399,0.825500585502547
ts_rolling_std20_feature_066,0.010301700167058073,0.015950075320243534,0.8255001896785952
feature_218,-0.004261327009140496,-0.007126067085969554,0.8254999841273154
ts_minus_ema20_feature_155,0.0032419140303124143,0.008754324221738339,0.825499954403051
ts_historical_zscore20_feature_074,0.0073722800095319925,0.007139281193821905,0.8254998692146436
ts_ema20_feature_064,0.0017963607986140843,-0.005861149482915416,0.825499579540086
